latitude,longitude,mg,diff
24.51,121.89,6.2,0.27
24.12,121.61,5.47,1.17
21.84,123.58,5.47,0.9
24.28,120.69,7.05,0
24.84,120.65,5.52,0.47
24.49,120.74,5.97,4.1
22.33,121.28,7.09,0
22.39,121.13,6.19,8.9
22.04,120.48,5.87,2.87
21.96,121.24,7.13,0
22.14,121.07,5.84,0.7
24.27,120.82,5.86,2.6
22.06,121.22,5.84,2.03
23.98,122.25,5.63,0
23.9,123.42,5.66,2
24.57,121.01,5.35,0.13
23.28,120.86,5.63,0.2
23.18,120.84,5.62,0.07
24.06,121.96,5.45,7.63
24.43,123.31,6.07,0.4
22.91,121.28,6.9,0
22.79,121.47,6.13,0.17
22.69,121.37,6.65,0.13
23.09,121.39,6.6,6.03
23.95,122.36,5.64,0.17
21.03,121.38,5.9,2.4
23.87,122.4,6.11,0.2
23.81,121.51,7.09,1.2
23.73,121.43,6.31,1.3
23.94,121.54,5.72,0.5
22.84,121.52,7.02,0.03
22.71,121.71,5.86,0
22.93,121.36,5.96,0.07
23.07,121.5,5.84,0.43
23.94,122.57,6.09,4.83
23.53,121.6,6.2,1.1
23.02,121.45,5.65,2.3
21.85,121.52,5.55,2.43
24.34,120.8,5.83,9.07
23.91,122.16,5.91,16.6
23.29,120.42,7.22,5.3
22.58,121.93,6.1,4.1
23.88,121.97,6.81,6.67
23.71,123.44,6.28,6.43
24.29,122.11,6.33,1.1
22.72,121.71,6.73,0.27
22.75,121.52,6.79,2.17
23.57,121.53,6.72,14.33
24.55,122.56,6.14,3.77
23.78,121.98,6.46,2.7
23.7,120.78,6.23,4.87
24.6,121.49,6.34,2.6
24.41,122.27,6.25,3.3
23.83,121.95,6.1,2.87
23.12,120.9,6.71,3.4
24.17,123.07,6.01,0.57
24.41,122.57,6.4,0.07
24.01,122.27,5.88,1.7
23.37,122.75,6.01,2.8
24.4,121.99,5.91,3
24.37,123.19,5.96,10.47
21.58,121.91,6.23,0.23
21.87,121.42,6.04,0.1
24.23,122.29,6.36,0.63
24.34,122.39,6.04,1.93
24.13,122.49,6.42,1
23.96,122.1,6.42,4.77
24.17,121.79,5.88,3.97
22.16,121.75,5.97,1.13
22.68,121.2,5.92,10.63
24.16,122.88,5.85,0.07
23.1,121.48,6.06,1.17
24.11,121.96,5.91,2.9
24.84,122.55,6.07,4.2
23.95,122.26,5.71,0.57
23.91,121.63,6.11,4.1
23.49,121.4,7.48,0.03
23.92,121.34,7.23,0
23.77,121.28,6.7,0
23.73,121.06,6.46,0
23.78,121.39,6.96,0
23.25,122.22,6.18,0
23.89,121.57,6.51,0
24.19,121.74,6.58,0
23.73,121.51,6.31,0
23.9,121.33,6.45,0
24.07,121.66,6.54,0
24.02,121.48,6.46,0
23.4,121.36,6.18,0
24.27,122.01,6,0
23.51,121.64,6.27,0
24.29,121.85,5.88,0.03
23.87,121.42,6.56,0
23.89,121.55,6.31,0
23.96,122.08,6.07,0.03
23.95,121.62,6.27,0
23.77,121.59,5.94,0
24.24,121.64,5.97,0.03
24.01,121.56,6.58,0.1
24.14,121.62,6.11,0.4
23.78,121.81,5.9,0.5
23.05,121.25,7.34,0
23.09,121.21,7.81,0.07
22.82,121.4,6.44,0.3
22.68,121.17,6.07,0.8
20.48,119.97,5.98,5.8
24.03,121.96,6.61,0.1
24.37,122.1,6.17,8.47
23.97,121.67,5.87,1.07
23.95,122.39,5.96,17.23
21.48,121.65,6.01,0.07
20.72,121.06,6.1,0.03
20.71,120.9,6.14,0
20.5,120.83,6.17,0
20.47,120.96,5.98,0.2
20.97,121.31,5.91,0
20.77,121.29,5.96,0.13
24.14,121.8,5.81,5.77
24.07,122.48,5.8,0.87
21.78,121,6.5,1.47
20.67,122.19,5.83,0.6
24.23,121.32,6.2,0.4
22.47,121.28,6.22,1.23
23.4,121.74,6.07,2
24.03,122.35,6.61,0.07
22.12,121.33,6.34,0.63
23.71,121.75,5.91,3.6
20.86,120.89,6.12,5.07
24.04,122.42,6.22,7.97
23.97,121.58,6.92,6.03
24.08,121.79,6,1.9
23.66,121.52,6.85,3.17
23.6,121.64,6.03,0.9
20.64,120.32,6.07,0.07
20.74,120.39,5.67,0
20.76,120.45,5.68,0.1
20.57,120.39,5.64,0.13
20.92,120.18,6.31,0.13
23.22,121.87,5.75,0.27
24.95,124.33,7.15,0.13
22.71,121.88,6.17,1.23
24.13,121.66,5.63,4.03
